,CDUID,Shape.Area,name,Adjusted.Population..previous.Census.,Type,Region.Name,Area..sq.km.,Population,Dwellings,Households,v_CA16_2201..Total...Income.statistics.in.2015.for.the.population.aged.15.years.and.over.in.private.households...100..data
24,1210,3666.56495,Colchester (CTY),50968,CD,Colchester (CTY),3666.56495,50585,25378,22229,42100
25,1211,4327.68663,Cumberland (CTY),31353,CD,Cumberland (CTY),4327.68663,30005,18445,13614,25260
26,1212,2902.68709,Pictou (CTY),45643,CD,Pictou (CTY),2902.68709,43748,22525,19305,36480
27,1213,4242.06228,Guysborough (CTY),8143,CD,Guysborough (CTY),4242.06228,7625,5190,3549,6675
28,1214,1470.41197,Antigonish (CTY),19589,CD,Antigonish (CTY),1470.41197,19301,9842,8129,15930
29,1215,3921.68076,Inverness (CTY),17947,CD,Inverness (CTY),3921.68076,17235,9876,7351,14320
30,1216,1306.02277,Richmond (CTY),9293,CD,Richmond (CTY),1306.02277,8964,5122,3983,7750
31,1217,2596.00633,Cape Breton (CTY),101619,CD,Cape Breton (CTY),2596.00633,98722,47205,43081,83220
32,1218,2894.61801,Victoria (CTY),7115,CD,Victoria (CTY),2894.61801,7089,4437,3101,5945
33,1301,1561.43262,Saint John (CT),76550,CD,Saint John (CT),1561.43262,74020,36825,32852,60885
34,1302,3537.4947,Charlotte (CT),26549,CD,Charlotte (CT),3537.4947,25428,13513,11132,21165
35,1303,2751.43489,Sunbury (CT),27143,CD,Sunbury (CT),2751.43489,27644,11853,10898,21880
36,1304,3987.78702,Queens (CT),11086,CD,Queens (CT),3987.78702,10472,7289,4877,9075
37,1305,3681.18677,Kings (CT),69665,CD,Kings (CT),3681.18677,68941,29570,27027,56195
38,1306,1842.47549,Albert (CT),28846,CD,Albert (CT),1842.47549,29158,13111,12219,24385
39,1307,3730.88498,Westmorland (CT),144158,CD,Westmorland (CT),3730.88498,149623,71839,64038,122980
40,1308,4624.65296,Kent (CT),30833,CD,Kent (CT),4624.65296,30475,16251,13236,26020
41,1309,13040.19468,Northumberland (CT),46204,CD,Northumberland (CT),13040.19468,44952,21792,19362,37975
42,1310,8390.347,York (CT),97238,CD,York (CT),8390.347,99411,46855,42009,81865
43,1311,3353.83945,Carleton (CT),27019,CD,Carleton (CT),3353.83945,26220,11823,10765,21495
44,1312,5583.0148,Victoria (CT),19921,CD,Victoria (CT),5583.0148,18617,9178,8159,15550
45,1313,3494.94803,Madawaska (CT),33422,CD,Madawaska (CT),3494.94803,32741,15774,14505,27150
46,1314,8675.29468,Restigouche (CT),32594,CD,Restigouche (CT),8675.29468,30955,15259,13993,26230
47,1315,4795.582,Gloucester (CT),79943,CD,Gloucester (CT),4795.582,78444,38789,34701,67540
48,2401,238.56838,Les Îles-de-la-Madeleine (Tï¿½),12781,CD,Les Îles-de-la-Madeleine (Tï¿½),238.56838,12475,6477,5534,10790
49,2402,3092.78658,Le Rocher-Percé (MRC),17979,CD,Le Rocher-Percé (MRC),3092.78658,17282,8969,8022,15190
50,2403,4146.9808,La Côte-de-Gaspé (MRC),17985,CD,La Côte-de-Gaspé (MRC),4146.9808,17117,8648,7637,14455
51,2404,5092.29883,La Haute-Gaspésie (MRC),12088,CD,La Haute-Gaspésie (MRC),5092.29883,11316,6282,5270,9630
52,2405,4406.08023,Bonaventure (MRC),18000,CD,Bonaventure (MRC),4406.08023,17660,8744,7898,14990
53,2406,3575.06781,Avignon (MRC),15246,CD,Avignon (MRC),3575.06781,14461,7340,6570,11870
54,2407,5445.45639,La Matapédia (MRC),18573,CD,La Matapédia (MRC),5445.45639,17925,9142,8139,14780
55,2408,3338.82539,Matane (MRC),21786,CD,Matane (MRC),3338.82539,21301,11948,10178,17860
56,2409,2334.54738,La Mitis (MRC),18942,CD,La Mitis (MRC),2334.54738,18210,9692,8206,14680
57,2410,2790.54462,Rimouski-Neigette (MRC),55095,CD,Rimouski-Neigette (MRC),2790.54462,56650,28811,26113,46510
58,2411,1143.39074,Les Basques (MRC),9142,CD,Les Basques (MRC),1143.39074,8694,5185,4065,7200
59,2412,1296.60882,Rivière-du-Loup (MRC),34375,CD,Rivière-du-Loup (MRC),1296.60882,33958,17019,15155,27320
60,2413,4051.61442,Témiscouata (MRC),20572,CD,Témiscouata (MRC),4051.61442,19574,10778,8827,16205
61,2414,2272.30721,Kamouraska (MRC),21492,CD,Kamouraska (MRC),2272.30721,21073,10645,9150,17015
62,2415,2397.68517,Charlevoix-Est (MRC),16240,CD,Charlevoix-Est (MRC),2397.68517,15509,8707,6980,13055
63,2416,3867.52944,Charlevoix (MRC),13338,CD,Charlevoix (MRC),3867.52944,12997,7330,5781,10810
64,2417,2113.87453,L'Islet (MRC),18517,CD,L'Islet (MRC),2113.87453,17798,9924,8023,14755
65,2418,1710.04446,Montmagny (MRC),22877,CD,Montmagny (MRC),1710.04446,22698,12079,10421,18985
66,2419,1765.6323,Bellechasse (MRC),35318,CD,Bellechasse (MRC),1765.6323,37233,17740,15625,29665
67,2420,192.94887,L'Île-d'Orléans (MRC),6711,CD,L'Île-d'Orléans (MRC),192.94887,7082,3703,3040,5995
68,2421,5028.31803,La Côte-de-Beaupré (MRC),26172,CD,La Côte-de-Beaupré (MRC),5028.31803,28199,14244,11851,22585
69,2422,3337.69725,La Jacques-Cartier (MRC),36929,CD,La Jacques-Cartier (MRC),3337.69725,43485,18401,16332,32565
70,2423,557.38063,Québec (Tï¿½),551856,CD,Québec (Tï¿½),557.38063,569717,282180,267144,472060
71,2425,455.17739,Lévis (Tï¿½),138769,CD,Lévis (Tï¿½),455.17739,143414,62585,60779,115570
72,2426,915.11903,La Nouvelle-Beauce (MRC),35107,CD,La Nouvelle-Beauce (MRC),915.11903,36785,15501,14791,28710
73,2427,847.08485,Robert-Cliche (MRC),19288,CD,Robert-Cliche (MRC),847.08485,19125,8698,8002,15050
74,2428,1824.58861,Les Etchemins (MRC),17254,CD,Les Etchemins (MRC),1824.58861,16536,8764,7322,13605
75,2429,1976.08338,Beauce-Sartigan (MRC),51011,CD,Beauce-Sartigan (MRC),1976.08338,52406,24195,22861,41840
76,2430,2830.25466,Le Granit (MRC),22210,CD,Le Granit (MRC),2830.25466,21462,12478,9559,17630
77,2431,1984.52147,Les Appalaches (MRC),43120,CD,Les Appalaches (MRC),1984.52147,42346,22714,19669,34915
78,2432,1302.14335,L'Érable (MRC),23366,CD,L'Érable (MRC),1302.14335,23425,11315,10270,18880
79,2433,1667.551,Lotbinière (MRC),29617,CD,Lotbinière (MRC),1667.551,31741,14642,13352,25365
80,2434,4077.73181,Portneuf (MRC),49370,CD,Portneuf (MRC),4077.73181,53008,26586,23137,42825
81,2435,5602.74461,Mékinac (MRC),12924,CD,Mékinac (MRC),5602.74461,12358,8324,6013,10590
82,2436,803.89533,Shawinigan (Tï¿½),50060,CD,Shawinigan (Tï¿½),803.89533,49349,26953,24410,41565
83,2437,1178.64645,Francheville (CDR),149203,CD,Francheville (CDR),1178.64645,153030,76859,71357,125815
84,2438,1152.97439,Bécancour (MRC),20081,CD,Bécancour (MRC),1152.97439,20404,9947,9041,16595
85,2439,1911.08708,Arthabaska (MRC),69237,CD,Arthabaska (MRC),1911.08708,72014,33483,31447,57640
86,2440,792.02383,Les Sources (MRC),14756,CD,Les Sources (MRC),792.02383,14286,7226,6478,11505
87,2441,2300.30935,Le Haut-Saint-François (MRC),22065,CD,Le Haut-Saint-François (MRC),2300.30935,22335,11203,9581,18095
88,2442,1429.65358,Le Val-Saint-François (MRC),29654,CD,Le Val-Saint-François (MRC),1429.65358,30686,14359,13015,24580
89,2443,365.90834,Sherbrooke (Tï¿½),154601,CD,Sherbrooke (Tï¿½),365.90834,161323,80341,73506,130400
90,2444,1349.50308,Coaticook (MRC),18847,CD,Coaticook (MRC),1349.50308,18497,8747,7817,14780
91,2445,1377.69286,Memphrémagog (MRC),48551,CD,Memphrémagog (MRC),1377.69286,50415,30430,22919,42025
92,2446,1678.89253,Brome-Missisquoi (MRC),55621,CD,Brome-Missisquoi (MRC),1678.89253,58314,31470,25865,47555
93,2447,648.75581,La Haute-Yamaska (MRC),85042,CD,La Haute-Yamaska (MRC),648.75581,88306,40364,38826,71190
94,2448,582.67547,Acton (MRC),15381,CD,Acton (MRC),582.67547,15594,7101,6637,12570
95,2449,1626.05654,Drummond (MRC),98681,CD,Drummond (MRC),1626.05654,103397,47581,45334,82495
96,2450,1021.45956,Nicolet-Yamaska (MRC),22798,CD,Nicolet-Yamaska (MRC),1021.45956,23159,11045,10085,18670
97,2451,2493.19985,Maskinongé (MRC),36286,CD,Maskinongé (MRC),2493.19985,36316,19075,16452,30195
98,2452,1283.40303,D'Autray (MRC),41650,CD,D'Autray (MRC),1283.40303,42189,20768,18223,35000
