,CDUID,Shape.Area,name,Adjusted.Population..previous.Census.,Type,Region.Name,Area..sq.km.,Population,Dwellings,Households,v_CA16_2201..Total...Income.statistics.in.2015.for.the.population.aged.15.years.and.over.in.private.households...100..data
236,4801,21051.82561,Division No.  1 (CDR),78694,CD,Division No.  1 (CDR),21051.82561,82627,35331,33230,64455
237,4802,18176.46418,Division No.  2 (CDR),156536,CD,Division No.  2 (CDR),18176.46418,169729,66991,62823,128390
238,4803,14033.47986,Division No.  3 (CDR),38566,CD,Division No.  3 (CDR),14033.47986,38956,15405,13378,28160
239,4804,22257.98006,Division No.  4 (CDR),10078,CD,Division No.  4 (CDR),22257.98006,9573,4174,3739,7155
240,4805,17127.87179,Division No.  5 (CDR),53263,CD,Division No.  5 (CDR),17127.87179,55708,22044,20020,40575
241,4806,12884.40171,Division No.  6 (CDR),1311022,CD,Division No.  6 (CDR),12884.40171,1498778,586269,558912,1197300
242,4807,20040.15186,Division No.  7 (CDR),40232,CD,Division No.  7 (CDR),20040.15186,41574,18246,16009,31310
243,4808,10291.79484,Division No.  8 (CDR),189243,CD,Division No.  8 (CDR),10291.79484,209395,88994,80649,163655
244,4809,19056.67629,Division No.  9 (CDR),21290,CD,Division No.  9 (CDR),19056.67629,20869,9210,7933,16205
245,4810,21590.47924,Division No. 10 (CDR),93039,CD,Division No. 10 (CDR),21590.47924,97449,42796,38242,75525
246,4811,16456.93606,Division No. 11 (CDR),1203115,CD,Division No. 11 (CDR),16456.93606,1366050,557547,518951,1089035
247,4812,34477.42389,Division No. 12 (CDR),63427,CD,Division No. 12 (CDR),34477.42389,67120,30281,24500,51145
248,4813,25147.50329,Division No. 13 (CDR),68919,CD,Division No. 13 (CDR),25147.50329,71016,34788,27840,56140
249,4814,27265.32576,Division No. 14 (CDR),28584,CD,Division No. 14 (CDR),27265.32576,29291,13153,11598,23325
250,4815,28654.70418,Division No. 15 (CDR),35983,CD,Division No. 15 (CDR),28654.70418,38594,17542,13900,28830
251,4816,102898.9195,Division No. 16 (CDR),67516,CD,Division No. 16 (CDR),102898.9195,73988,31535,26338,58865
252,4817,197405.249,Division No. 17 (CDR),61504,CD,Division No. 17 (CDR),197405.249,61590,23895,19747,43715
253,4818,33497.73608,Division No. 18 (CDR),14534,CD,Division No. 18 (CDR),33497.73608,14488,6590,5320,11010
254,4819,20935.90573,Division No. 19 (CDR),109712,CD,Division No. 19 (CDR),20935.90573,120380,49338,44549,91270
255,5901,27849.75709,East Kootenay (RD),56685,CD,East Kootenay (RD),27849.75709,60439,34197,25863,49620
256,5903,23144.08242,Central Kootenay (RD),58441,CD,Central Kootenay (RD),23144.08242,59517,30726,27016,49955
257,5905,8152.33405,Kootenay Boundary (RD),31138,CD,Kootenay Boundary (RD),8152.33405,31447,18321,14339,26385
258,5907,10590.63123,Okanagan-Similkameen (RD),80742,CD,Okanagan-Similkameen (RD),10590.63123,83022,42894,37673,70910
259,5909,13902.28836,Fraser Valley (RD),277593,CD,Fraser Valley (RD),13902.28836,295934,116080,108393,235305
260,5915,3040.41532,Greater Vancouver (RD),2313328,CD,Greater Vancouver (RD),3040.41532,2463431,1027613,960894,2064585
261,5917,2367.24368,Capital (RD),359991,CD,Capital (RD),2367.24368,383360,183562,170157,323105
262,5919,3577.5503,Cowichan Valley (RD),80332,CD,Cowichan Valley (RD),3577.5503,83739,37919,35272,69625
263,5921,2072.4487,Nanaimo (RD),146574,CD,Nanaimo (RD),2072.4487,155698,73622,68904,131685
264,5923,6884.06625,Alberni-Clayoquot (RD),31061,CD,Alberni-Clayoquot (RD),6884.06625,30981,15490,13654,25545
265,5924,18653.88307,Strathcona (RD),43252,CD,Strathcona (RD),18653.88307,44671,21681,19610,37110
266,5926,1738.84519,Comox Valley (RD),63538,CD,Comox Valley (RD),1738.84519,66527,32076,29573,56185
267,5927,5316.84368,Powell River (RD),19906,CD,Powell River (RD),5316.84368,20070,11400,9412,17080
268,5929,3832.43389,Sunshine Coast (RD),28619,CD,Sunshine Coast (RD),3832.43389,29970,17379,13995,25860
269,5931,16637.4501,Squamish-Lillooet (RD),38173,CD,Squamish-Lillooet (RD),16637.4501,42665,23965,16416,34240
270,5933,45521.44027,Thompson-Nicola (RD),128471,CD,Thompson-Nicola (RD),45521.44027,132663,62157,55504,109195
271,5935,3144.90019,Central Okanagan (RD),179839,CD,Central Okanagan (RD),3144.90019,194882,88374,81383,163005
272,5937,7716.90837,North Okanagan (RD),81237,CD,North Okanagan (RD),7716.90837,84354,39970,35875,70225
273,5939,30033.26674,Columbia-Shuswap (RD),50512,CD,Columbia-Shuswap (RD),30033.26674,51366,29798,22454,43165
274,5941,82960.86148,Cariboo (RD),62392,CD,Cariboo (RD),82960.86148,61988,31680,26699,51490
275,5943,20763.70034,Mount Waddington (RD),11506,CD,Mount Waddington (RD),20763.70034,11035,5963,4850,8875
276,5945,25112.57403,Central Coast (RD),3206,CD,Central Coast (RD),25112.57403,3319,1531,1284,2625
277,5947,20391.79288,Skeena-Queen Charlotte (RD),18784,CD,Skeena-Queen Charlotte (RD),20391.79288,18133,8911,7413,14625
278,5949,106516.3421,Kitimat-Stikine (RD),37361,CD,Kitimat-Stikine (RD),106516.3421,37367,16922,14822,30065
279,5951,78194.40016,Bulkley-Nechako (RD),39208,CD,Bulkley-Nechako (RD),78194.40016,37896,17564,15101,30175
280,5953,52080.24428,Fraser-Fort George (RD),91879,CD,Fraser-Fort George (RD),52080.24428,94506,41666,38600,76555
281,5955,119860.8911,Peace River (RD),60082,CD,Peace River (RD),119860.8911,62942,28746,24264,48325
282,5957,121827.2366,Stikine (REG),629,CD,Stikine (REG),121827.2366,740,617,367,645
283,5959,86405.35946,Northern Rockies (RD),5578,CD,Northern Rockies (RD),86405.35946,5393,2593,2182,4175
284,6001,483867.2021,Yukon (TER),33897,CD,Yukon (TER),483867.2021,35874,17987,15215,28890
285,6101,394979.1951,Region 1 (REG),6712,CD,Region 1 (REG),394979.1951,6372,2741,2248,4680
286,6102,267883.5319,Region 2 (REG),2341,CD,Region 2 (REG),267883.5319,2433,1111,858,1860
287,6103,34137.55818,Region 3 (REG),2812,CD,Region 3 (REG),34137.55818,2751,861,705,1940
288,6104,208172.7474,Region 4 (REG),3256,CD,Region 4 (REG),208172.7474,3160,1495,1138,2510
289,6105,205590.1816,Region 5 (REG),6616,CD,Region 5 (REG),205590.1816,6980,3199,2692,5490
290,6106,239262.1419,Region 6 (REG),19725,CD,Region 6 (REG),239262.1419,20090,8259,7340,15845
291,6204,1041182.797,Baffin (REG),16939,CD,Baffin (REG),1041182.797,18988,6556,5525,12840
292,6205,539971.0306,Keewatin (REG),8955,CD,Keewatin (REG),539971.0306,10413,3007,2631,6765
293,6208,513095.1268,Kitikmeot (REG),6012,CD,Kitikmeot (REG),513095.1268,6543,1870,1663,4325
