Facility ID,Facility name,Company name,City,Address,Postal code,Province,Latitude,Longitude,Total emissions,Units,Report year,Industry classification,Industry classification link,Facility information,Facility details
11034,Roseburg Pembroke MDF,Roseburg Forest Products Canada Ltd.,Pembroke, 777 Fibreboard Drive,K8A6W4,Ontario,45.7642,-77.0541,20.84,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Particle Board & Fibreboard Mills,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=321216,https://climate-change.canada.ca/facility-emissions/GHGRP-G11034-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111034&GoCTemplateCulture=en-CA
"
11036,CFB Gagetown,DEPARTMENT OF NATIONAL DEFENCE,Oromocto, 100 Broad Road,E2V4J5,New Brunswick,45.8358,-66.4521,20.1,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Defense Services,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=911110,https://climate-change.canada.ca/facility-emissions/GHGRP-G11036-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111036&GoCTemplateCulture=en-CA
"
11037,Willisden Green Comp Station 08-04,Bellatrix Exploration Ltd.,N/A,,N/A,Alberta,52.7649,-114.9575,18.27,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Oil and Gas Extraction (except oil sands),http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=211110,https://climate-change.canada.ca/facility-emissions/GHGRP-G11037-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111037&GoCTemplateCulture=en-CA
"
11038,Conroy D-48-C/94-H-12,Polar Star Canadian Oil and Gas Inc.,Conroy,,N/A,British Columbia,57.5396,-121.8406,18.31,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Oil and Gas Extraction (except oil sands),http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=211110,https://climate-change.canada.ca/facility-emissions/GHGRP-G11038-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111038&GoCTemplateCulture=en-CA
"
11039,Incinérateur de Lévis,Ville de Lévis,Lévis, 3451 Vulcain,G6W 0K8,Quebec,46.7507,-71.1762,8.47,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Waste Treatment & Disposal,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=562210,https://climate-change.canada.ca/facility-emissions/GHGRP-G11039-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111039&GoCTemplateCulture=en-CA
"
11040,Fort McMurray WWTP,Regional Municipality of Wood Buffalo,Fort McMurray, 820 Memorial Drive,T9K0N9,Alberta,56.7649,-111.4125,11.41,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Sewage Treatment Facilities,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=221320,https://climate-change.canada.ca/facility-emissions/GHGRP-G11040-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111040&GoCTemplateCulture=en-CA
"
11041,Maple Lodge Farms,Maple Lodge Farms Ltd.,Brampton, 8301 Winston Churchill Boulevard,L6Y0A2,Ontario,43.6142,-79.8043,28.96,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Poultry processing,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=311615,https://climate-change.canada.ca/facility-emissions/GHGRP-G11041-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111041&GoCTemplateCulture=en-CA
"
11042,Real Alloy Mississauga,Real Alloy Canada Ltd.,Mississauga, 7496 Torbram Road,L4T1G9,Ontario,43.7014,-79.6679,15.05,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,"Alum. Rolling, Drawing, Extruding & Alloying",http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=331317,https://climate-change.canada.ca/facility-emissions/GHGRP-G11042-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111042&GoCTemplateCulture=en-CA
"
11043,"Canada Malting, Thunder Bay",Canada Malting Co Ltd.,Thunder Bay, 579 Maureen Street,P7B6T9,Ontario,48.4168,-89.2267,18.37,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Rice milling and malt Mfg,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=311214,https://climate-change.canada.ca/facility-emissions/GHGRP-G11043-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111043&GoCTemplateCulture=en-CA
"
11044,Montreal,Canada Malting Co Ltd.,Montréal, 205 Riverside Street,H3C2H9,Quebec,45.4903,-73.5482,10.64,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Rice milling and malt Mfg,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=311214,https://climate-change.canada.ca/facility-emissions/GHGRP-G11044-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111044&GoCTemplateCulture=en-CA
"
11045,Steen River Gas Plant,Strategic Oil & Gas Ltd.,Steen River,1100 645 7th Avenue Southwest,N/A,Alberta,59.6018,-117.4097,17.96,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Oil and Gas Extraction (except oil sands),http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=211110,https://climate-change.canada.ca/facility-emissions/GHGRP-G11045-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111045&GoCTemplateCulture=en-CA
"
11046,Great Lakes Copper Ltd.,Great Lakes Copper Ltd.,London, 1010 Clarke Road,N5Y5S6,Ontario,43.0233,-81.1842,13.03,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,"Copper rolling, drawing, extruding and alloying",http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=331420,https://climate-change.canada.ca/facility-emissions/GHGRP-G11046-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111046&GoCTemplateCulture=en-CA
"
11047,Alberta Capital Region Wastewater Commission Treatment Plant,Alberta Capital Region Wastewater Commision,Fort Saskatchewan, 23262 Township Road 540 Road,T8L4A2,Alberta,53.6288,-113.3077,23.26,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Sewage Treatment Facilities,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=221320,https://climate-change.canada.ca/facility-emissions/GHGRP-G11047-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111047&GoCTemplateCulture=en-CA
"
11048,Selenis Canada Inc,Selenis Canada Inc.,Montréal-Est, 3498 Broadway Avenue,H1B 5B4,Quebec,45.63381,-73.51887,17.73,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Resin & Synthetic Rubber Mfg.,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=325210,https://climate-change.canada.ca/facility-emissions/GHGRP-G11048-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111048&GoCTemplateCulture=en-CA
"
11049,Moose Jaw Refinery,Moose Jaw Refinery Partnership,Moose Jaw, 641 Manitoba Street,S6H6E3,Saskatchewan,50.3897,-105.5191,28.52,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Petroleum Refineries,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=324110,https://climate-change.canada.ca/facility-emissions/GHGRP-G11049-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111049&GoCTemplateCulture=en-CA
"
11050,Peintures MF Inc.,Peintures MF Inc.,Laval, 1605 Dagenais Boulevard West,H7L5A3,Quebec,45.5948,-73.7563,0.07,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Paint and coating Mfg,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=325510,https://climate-change.canada.ca/facility-emissions/GHGRP-G11050-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111050&GoCTemplateCulture=en-CA
"
11051,energy centre,Hamilton Utilities Corp.,Hamilton, 79 Bay Street North,L8R3P8,Ontario,43.2608,-79.8732,10.49,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Steam & Air-Conditioning Supply,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=221330,https://climate-change.canada.ca/facility-emissions/GHGRP-G11051-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111051&GoCTemplateCulture=en-CA
"
11052,Agropur Coopérative - Usine de Beauceville,Agropur Cooperative,Beauceville, 75 Lambert,G5X3N5,Quebec,46.2469,-70.8122,11.09,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,"Butter, cheese, and dry and condensed dairy product manufact",http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=311515,https://climate-change.canada.ca/facility-emissions/GHGRP-G11052-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111052&GoCTemplateCulture=en-CA
"
11053,Agropur Coopérative - Usine de Granby,Agropur Cooperative,Granby, 1100 Omer Deslauriers,J2G8C9,Quebec,45.3936,-72.7794,22.05,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,"Butter, cheese, and dry and condensed dairy product manufact",http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=311515,https://climate-change.canada.ca/facility-emissions/GHGRP-G11053-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111053&GoCTemplateCulture=en-CA
"
11054,Agropur Coopérative - Usine de Notre-Dame-du-Bon-Conseil,Agropur Cooperative,Notre-Dame-du-Bon-Conseil, 81 St-Félix Street,J0C1A0,Quebec,46.0042,-72.3417,13.27,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,"Butter, cheese, and dry and condensed dairy product manufact",http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=311515,https://climate-change.canada.ca/facility-emissions/GHGRP-G11054-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111054&GoCTemplateCulture=en-CA
"
11055,Agropur Coopérative - Usine de Plessisville,Agropur Cooperative,Plessisville, 2400 de la coopérative,G6L2Y6,Quebec,46.2228,-71.7601,13.88,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,"Butter, cheese, and dry and condensed dairy product manufact",http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=311515,https://climate-change.canada.ca/facility-emissions/GHGRP-G11055-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111055&GoCTemplateCulture=en-CA
"
11056,Innisfail Plant,Johns Manville Canada Inc.,Innisfail, 5301 42 Avenue,T4G1A2,Alberta,52.0317,-113.9355,25.75,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Glass Mfg.,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=327214,https://climate-change.canada.ca/facility-emissions/GHGRP-G11056-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111056&GoCTemplateCulture=en-CA
"
