,GeoUID,Shape.Area,name,Adjusted.Population..previous.Census.,PR_UID,Type,Region.Name,Area..sq.km.,Population,Dwellings,Households,LowIncome,LowIncPercent,Aboriginal,AborigPercent,VisMinority,VisMinorityPercent
50,2403,4146.9808,La Côte-de-Gaspé (MRC),17985,24,CD,La Côte-de-Gaspé (MRC),4146.9808,17117,8648,7637,13.7,0.000761746,1940,0.107867668,170,0.009452321
51,2404,5092.29883,La Haute-Gaspésie (MRC),12088,24,CD,La Haute-Gaspésie (MRC),5092.29883,11316,6282,5270,22.8,0.001886168,355,0.029367968,55,0.004549967
52,2405,4406.08023,Bonaventure (MRC),18000,24,CD,Bonaventure (MRC),4406.08023,17660,8744,7898,16.3,0.000905556,1625,0.090277778,90,0.005
53,2406,3575.06781,Avignon (MRC),15246,24,CD,Avignon (MRC),3575.06781,14461,7340,6570,17.1,0.001121606,2385,0.156434475,135,0.008854782
54,2407,5445.45639,La Matapédia (MRC),18573,24,CD,La Matapédia (MRC),5445.45639,17925,9142,8139,20.2,0.0010876,590,0.031766543,55,0.002961288
55,2408,3338.82539,Matane (MRC),21786,24,CD,Matane (MRC),3338.82539,21301,11948,10178,18.7,0.000858349,395,0.01813091,280,0.01285229
56,2409,2334.54738,La Mitis (MRC),18942,24,CD,La Mitis (MRC),2334.54738,18210,9692,8206,18.8,0.000992503,490,0.025868441,90,0.004751346
57,2410,2790.54462,Rimouski-Neigette (MRC),55095,24,CD,Rimouski-Neigette (MRC),2790.54462,56650,28811,26113,13.3,0.000241401,940,0.017061439,820,0.014883383
58,2411,1143.39074,Les Basques (MRC),9142,24,CD,Les Basques (MRC),1143.39074,8694,5185,4065,20.7,0.002264275,135,0.014767009,35,0.003828484
59,2412,1296.60882,Rivière-du-Loup (MRC),34375,24,CD,Rivière-du-Loup (MRC),1296.60882,33958,17019,15155,12.9,0.000375273,350,0.010181818,350,0.010181818
60,2413,4051.61442,Témiscouata (MRC),20572,24,CD,Témiscouata (MRC),4051.61442,19574,10778,8827,17.4,0.00084581,445,0.021631344,90,0.004374878
61,2414,2272.30721,Kamouraska (MRC),21492,24,CD,Kamouraska (MRC),2272.30721,21073,10645,9150,13.5,0.000628141,195,0.009073143,115,0.005350828
62,2415,2397.68517,Charlevoix-Est (MRC),16240,24,CD,Charlevoix-Est (MRC),2397.68517,15509,8707,6980,13.4,0.000825123,495,0.030480296,90,0.005541872
63,2416,3867.52944,Charlevoix (MRC),13338,24,CD,Charlevoix (MRC),3867.52944,12997,7330,5781,11.9,0.000892188,150,0.011246064,95,0.007122507
